name,team,apps,mins,tackles,ints,pos won,blocks,clearances,Ground Duels -total,Ground Duels %,Aerial Duels -total,Aerial Duels %,team_poss,tackles_padj,ints_padj,pos won_padj,blocks_padj,clearances_padj,Ground Duels -total_padj,Aerial Duels -total_padj,tackles_padj_z,ints_padj_z,pos won_padj_z,blocks_padj_z,clearances_padj_z,Ground Duels -total_padj_z,Ground Duels %_z,Aerial Duels -total_padj_z,Aerial Duels %_z,Cluster,Cluster_Name,Cluster_0_%,Cluster_1_%,Cluster_2_%,Cluster_3_%,Max_Percentage
Lautaro Valenti,Parma,27,2251,1.96,1.0,3.32,0.96,5.76,4.88,59.8,3.08,55.8,44.2,1.7562724014336917,0.8960573476702509,2.974910394265233,0.8602150537634409,5.161290322580645,4.372759856630824,2.759856630824373,0.4275052224814,-0.6703604177074225,-0.5166868181228214,0.9280481071107403,0.33963142027088394,0.01056888252569679,0.7674569638315354,-0.7304915722862123,-0.23518434261724294,3,Coverage Defender,20.7,17.0,23.1,39.2,39.2
Alessandro Bastoni,Inter,28,2249,2.04,0.92,4.0,0.24,3.2,5.52,55.8,3.24,64.2,59.8,2.5373134328358207,1.144278606965174,4.975124378109452,0.29850746268656714,3.980099502487562,6.865671641791043,4.029850746268656,1.905236881297523,-0.001741661991700469,1.1858320897997077,-1.5925770961799228,-0.6223121065986628,1.969283816720735,0.1563485231383786,0.294694570985883,0.7961189306358628,1,Aggressor,19.9,50.1,15.3,14.7,50.1
Matteo Bianchetti,Cremonese,27,2197,1.88,0.78,1.93,0.74,5.74,4.34,58.5,3.6,60.2,46.6,1.7602996254681649,0.7303370786516855,1.807116104868914,0.6928838951310862,5.374531835205993,4.063670411985019,3.370786516853933,0.43512474080837277,-1.1167511917402662,-1.510676398397664,0.17716073716095843,0.5132920085860384,-0.23228692762920608,0.5688467206062598,-0.23732641029709542,0.30502213384866994,3,Coverage Defender,17.0,14.1,22.4,46.5,46.5
Bremer,Juventus,26,2175,1.16,1.32,4.63,0.37,3.89,3.1,52.0,4.72,57.9,57.6,1.3679245283018868,1.5566037735849059,5.459905660377359,0.4363207547169812,4.587264150943397,3.655660377358491,5.566037735849057,-0.3072499615459407,1.1089139709652045,1.5984625913032506,-0.974149176104374,-0.12784661178548107,-0.5528660002148218,-0.42420449552011985,1.534761431171105,0.022641475696033513,1,Aggressor,20.2,37.6,22.7,19.5,37.6
Yerry Mina,Cagliari,26,2153,1.34,1.09,3.34,0.96,5.31,4.77,62.3,3.72,65.2,45.6,1.2316176470588236,1.0018382352941178,3.0698529411764706,0.8823529411764707,4.880514705882353,4.384191176470588,3.419117647058824,-0.5651429346792022,-0.38542476931664404,-0.435874723722779,1.027390394534549,0.11097210257957099,0.01955062709483557,1.1493997392647584,-0.1983117374161899,0.9188931298326611,3,Coverage Defender,14.8,15.5,33.6,36.1,36.1
Guillermo Maripán,Torino,27,2144,2.14,1.18,3.11,1.09,6.34,4.66,55.9,4.7,52.7,44.1,1.9141323792486584,1.0554561717352413,2.7817531305903396,0.9749552772808587,5.6708407871198565,4.168157423971378,4.203935599284437,0.7261767102755959,-0.24099734175004017,-0.6810961744543162,1.4429371771956523,0.7546014341237162,-0.15019005118720863,0.17162623415570774,0.43522229225245224,-0.6157843601273167,3,Coverage Defender,19.2,18.7,30.5,31.6,31.6
Torbjørn Heggem,Bologna,27,2113,1.36,1.02,3.88,0.34,4.34,4.17,53.1,3.49,45.1,55.2,1.517857142857143,1.1383928571428572,4.330357142857143,0.37946428571428575,4.84375,4.654017857142857,3.895089285714286,-0.023577065616733072,-0.01759575415862388,0.6370266029406162,-1.2292887736724882,0.0810314949832425,0.2315571458265368,-0.25614967432950153,0.18591014409181156,-1.5488682740229833,0,Ground Specialist,45.9,21.9,13.4,18.7,45.9
Mario Hermoso,Roma,27,2096,1.55,1.25,4.17,0.17,3.39,5.07,48.3,3.48,61.7,56.3,1.7734553775743707,1.4302059496567505,4.771167048054919,0.19450800915331806,3.8787185354691074,5.80091533180778,3.981693363844393,0.4600154579426278,0.7684437147104589,1.01223005840111,-2.059267680157606,-0.7048751974322777,1.1326902003491148,-0.9894798031612904,0.2558201537289664,0.4891834326438673,1,Aggressor,25.0,41.8,16.3,16.9,41.8
Isak Hien,Atalanta,28,1965,2.24,1.33,5.73,0.73,4.67,6.5,52.1,4.44,49.5,55.2,2.5000000000000004,1.4843750000000002,6.3950892857142865,0.8147321428571429,5.212053571428571,7.254464285714286,4.955357142857143,1.8346397695150418,0.914355644823476,2.3944613281262295,0.7239465899322972,0.38097222465360203,2.2747635222164853,-0.40892678450279074,1.0417975077268768,-1.0086617975570713,1,Aggressor,22.7,37.0,21.4,18.9,37.0
Diego Carlos,Como,27,1948,1.39,1.02,2.77,0.79,5.54,3.56,48.1,3.79,58.5,61.6,1.8098958333333335,1.3281250000000002,3.606770833333334,1.0286458333333335,7.213541666666668,4.635416666666667,4.934895833333334,0.5289608948296468,0.49347436786381815,0.02113281186205475,1.683869952387641,2.0109531596299015,0.21694193569499265,-1.0200352251959475,1.0252803831654986,0.09630599521411262,2,Aerial Stopper,17.8,21.8,36.5,23.9,36.5
Yann Bisseck,Inter,23,1922,1.26,1.03,3.28,0.33,3.47,4.12,56.8,2.81,65.0,59.8,1.5671641791044775,1.281094527363184,4.079601990049751,0.4104477611940298,4.3159203980099505,5.124378109452736,3.4950248756218905,0.06971197495297553,0.3667911974356616,0.4235917442895943,-1.0902525020955693,-0.3488247655695147,0.6011256384364325,0.3091256333116678,-0.13703661972021525,0.8943382899933011,1,Aggressor,22.2,37.6,19.6,20.5,37.6
Ardian Ismajli,Torino,25,1907,1.56,1.6,2.88,0.85,7.55,3.82,63.0,3.49,71.6,44.1,1.3953488372093024,1.4311270125223614,2.5760286225402504,0.7602862254025045,6.753130590339892,3.4168157423971377,3.1216457960644006,-0.2553630979058975,0.7709247266467049,-0.8562023718948474,0.47962418102673066,1.6360015031848567,-0.7405295012805434,1.2563437163860611,-0.4384419993948434,1.7046480046921686,2,Aerial Stopper,14.0,16.7,43.8,25.5,43.8
Kialonda Gaspar,Lecce,23,1830,1.13,0.84,2.07,1.03,6.93,3.25,68.2,4.28,56.3,41.7,0.9691252144082333,0.7204116638078902,1.7753001715265866,0.8833619210977702,5.943396226415095,2.7873070325900517,3.670668953687822,-1.0617792986242411,-1.143486687892656,-1.5377571150239977,1.0319181243705766,0.9765663665319098,-1.2351431167501912,2.0507846892871653,0.00474976557968981,-0.17379724301884383,3,Coverage Defender,18.3,16.4,28.6,36.7,36.7
Giorgio Scalvini,Atalanta,24,1817,2.33,2.13,4.95,0.59,3.62,6.84,50.7,3.37,61.8,55.2,2.600446428571429,2.377232142857143,5.524553571428572,0.6584821428571428,4.040178571428572,7.633928571428571,3.7611607142857144,2.0246846731080637,3.319391513164377,1.6534888493993223,0.022785177356219877,-0.57338464247936,2.5729138088999965,-0.6228147387453954,0.0777980560536979,0.5014608525635464,1,Aggressor,21.5,40.9,20.0,17.6,40.9
Amir Rrahmani,Napoli,21,1800,1.1,1.2,4.15,0.45,3.55,3.3,60.6,4.95,68.7,59.0,1.3414634146341464,1.4634146341463414,5.060975609756098,0.5487804878048781,4.329268292682927,4.024390243902439,6.036585365853659,-0.35731445729228467,0.857895961328887,1.25890594406101,-0.4694936541214085,-0.33795444668488767,-0.26314989369926106,0.8896786519701674,1.9146048526199397,1.348602827021455,1,Aggressor,17.3,33.4,29.3,20.0,33.4
Koni De Winter,Milan,26,1798,1.45,0.65,3.7,0.6,4.96,3.7,54.1,3.2,65.6,51.8,1.5041493775933608,0.6742738589211618,3.838174273858921,0.6224066390041493,5.145228215767634,3.838174273858921,3.3195020746887964,-0.04951219307802226,-1.2677653326084437,0.21809610480732655,-0.1391012305859154,0.32655068901744827,-0.40946233190148684,-0.10337256415621236,-0.2787251056404548,0.9680028095113793,3,Coverage Defender,17.5,15.6,23.0,44.0,44.0
Nicolò Bertola,Udinese,28,1760,1.89,1.18,3.32,0.61,4.4,5.22,52.9,2.97,60.3,45.6,1.7371323529411764,1.0845588235294117,3.0514705882352944,0.5606617647058824,4.044117647058824,4.797794117647059,2.729779411764706,0.39129220105038726,-0.16260526974976686,-0.4515212014032866,-0.41617721959266823,-0.5701767202368963,0.3445241229609473,-0.2867050963641598,-0.7547710140829508,0.31729955376834906,0,Ground Specialist,35.4,20.6,16.4,27.7,35.4
Carlos Augusto,Inter,34,1753,1.9,0.92,3.13,0.41,3.13,5.13,55.0,4.52,69.3,59.8,2.36318407960199,1.144278606965174,3.893034825870646,0.5099502487562189,3.893034825870646,6.380597014925373,5.62189054726368,1.575783692979271,-0.001741661991700469,0.26479167230832046,-0.6437417517983662,-0.6932162320506642,1.5881540384843942,0.034126834999747696,1.5798478828551983,1.422267346539533,1,Aggressor,11.7,64.3,13.4,10.7,64.3
Zé Pedro,Cagliari,23,1705,1.64,1.06,2.96,0.69,4.33,5.33,49.5,2.32,40.9,45.6,1.5073529411764706,0.974264705882353,2.7205882352941178,0.6341911764705882,3.979779411764706,4.89889705882353,2.1323529411764706,-0.043451042463062556,-0.45969793583893664,-0.7331577996524279,-0.08621890779216168,-0.6225727835304712,0.4239620886171082,-0.8061472709533428,-1.237035720527477,-2.0645199106495364,0,Ground Specialist,45.9,16.0,14.3,23.7,45.9
